produccion_toneladas,año,id_municipio,subregion
750.0,2008,76364,Sur
465.0,2008,76377,Sur
1200.0,2008,76126,Centro
100.0,2008,76130,Sur
2440.0,2008,76113,Centro
16781.0,2008,76122,Centro
15471.0,2008,76246,Norte
5746.0,2008,76243,Norte
60.0,2008,76248,Sur
1206.0,2008,76147,Norte
4370.0,2008,76233,Sur
4710.0,2007,76890,Centro
240.0,2007,76892,Sur
1310.0,2007,76845,Norte
2520.0,2007,76863,Norte
780.0,2007,76869,Sur
182.0,2007,76895,Norte
16268.0,2007,76616,Centro
680.0,2007,76622,Norte
100.0,2007,76563,Sur
2160.0,2007,76520,Sur
3180.0,2007,76606,Centro
6300.0,2007,76828,Centro
800.0,2007,76834,Centro
1395.0,2007,76670,Centro
12960.0,2007,76736,Centro
1981.0,2007,76823,Norte
592.0,2007,76036,Centro
3920.0,2007,76041,Norte
3762.0,2007,76020,Norte
390.0,2007,76001,Sur
770.0,2007,76109,Pacifico
5520.0,2007,76111,Centro
20560.0,2007,76054,Norte
3770.0,2007,76100,Norte
840.0,2007,76318,Centro
1173.0,2007,76364,Sur
3120.0,2007,76275,Sur
828.0,2007,76306,Sur
1628.0,2007,76377,Sur
1698.0,2007,76403,Norte
5168.0,2007,76497,Norte
550.0,2007,76400,Norte
1305.0,2007,76147,Norte
5966.0,2007,76233,Sur
20472.0,2007,76122,Centro
2560.0,2007,76113,Centro
100.0,2007,76130,Sur
215.0,2007,76248,Sur
1200.0,2007,76250,Norte
1200.0,2007,76126,Centro
2880.0,2007,76243,Norte
6525.0,2007,76246,Norte
4812.0,2006,76890,Centro
184.0,2006,76892,Sur
299.0,2006,76895,Norte
2380.0,2006,76863,Norte
1080.0,2006,76869,Sur
680.0,2006,76622,Norte
1575.0,2006,76670,Centro
3150.0,2006,76606,Centro
9800.0,2006,76616,Centro
5850.0,2006,76828,Centro
1100.0,2006,76845,Norte
6000.0,2006,76834,Centro
14840.0,2006,76736,Centro
1960.0,2006,76823,Norte
3800.0,2006,76041,Norte
21210.0,2006,76054,Norte
6372.0,2006,76020,Norte
1440.0,2006,76001,Sur
500.0,2006,76036,Centro
5316.0,2006,76111,Centro
21299.0,2006,76122,Centro
2296.0,2006,76113,Centro
3770.0,2006,76100,Norte
770.0,2006,76109,Pacifico
1260.0,2006,76364,Sur
1820.0,2006,76377,Sur
828.0,2006,76306,Sur
840.0,2006,76318,Centro
